ID,Type,UGS,Nom,Parent,Poids (g),Tarif régulier,Nom de l’attribut 1,Valeur(s) de l’attribut 1,Attribut 1 visible,Attribut 1 global,Attribut 1 par défaut,Nom de l’attribut 2,Valeur(s) de l’attribut 2,Attribut 2 visible,Attribut 2 global,Attribut 2 par défaut,Nom de l’attribut 3,Valeur(s) de l’attribut 3,Attribut 3 visible,Attribut 3 global,Attribut 3 par défaut
1324,variable,ANI01,Photo d'un chien qui tient la pose en 1923 sur un balcon,,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
1752,variable,ANI02,Photo d'un chien sur ses pattes arrières en 1934,,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
1771,variable,ANI03,Photo de femmes et leurs chiens en 1923,,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
1794,variable,ANI04,Photo d'une femme et de son chien en 1915,,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
1813,variable,ANI05,Photo d'une exposition canine en 1925,,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
1832,variable,ANI06,Photo de deux chats dans un panier en 1923,,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
1851,variable,ANI07,Photo de deux chats en 1923,,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
1870,variable,ANI08,Photo d'un chat qui pose en 1900,,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
1889,variable,ANI09,Photo d'un chat bien habillé dans les années 1910,,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
1908,variable,ANI10,Photo d'un bulldog Anglais en 1923,,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
1928,variable,ANI11,Photo d'un bulldog Anglais en 1923,,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
1947,variable,ANI12,Photo d'un bulldog Anglais dans une roue de voiture en 1922,,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
1969,variable,ANI13,"Photo d'un bulldog Anglais, chien policier en 1923",,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
1988,variable,ANI14,"Photo d'un bulldog Anglais, chien policier en 1923",,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
2007,variable,ANI15,"Photo d'un bulldog Anglais, chien policier en 1923",,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
2026,variable,ANI16,Photo d'un chien qui fume en 1922,,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
2045,variable,ANI18,Photo d'un lion sur les épaules de son dresseur en 1950,,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
2064,variable,ANI20,Photo d'un éléphant à la banque en 1924,,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
2083,variable,ANI22,Photo d'un éléphant en plein nettoyage en 1922,,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
2084,variable,ANI21,"Photo d'un éléphant en 1900 à Central Park, New-York",,,,Dimensions,"24x30 cm, 30x40 cm, 40x50 cm, 50x70 cm, 60x80 cm",1,1,24x30 cm,Finition,"Cadre, Caisse Américaine, Contrecollage Aluminium, Tirage Seul",1,1,Tirage Seul,Passe-Partout,"Non, Oui",1,1,Non
