ID,Type,UGS,Nom,Parent,Poids (g),Tarif régulier,Nom de l'attribut 1,Valeur(s) de l'attribut 1,Attribut 1 visible,Attribut 1 global,Attribut 1 par défaut,Nom de l'attribut 2,Valeur(s) de l'attribut 2,Attribut 2 visible,Attribut 2 global,Attribut 2 par défaut,Nom de l'attribut 3,Valeur(s) de l'attribut 3,Attribut 3 visible,Attribut 3 global,Attribut 3 par défaut
,variation,MB05-001,"Photo de Marlon Brando dans le film ""Le Parrain""",MB05,1,"12,90",Dimensions,25x25 cm,,1,,Finition,Tirage Seul,,1,,Passe-Partout,Non,,1,
,variation,MB05-002,"Photo de Marlon Brando dans le film ""Le Parrain""",MB05,1,"14,90",Dimensions,25x25 cm,,1,,Finition,Tirage Seul,,1,,Passe-Partout,Oui,,1,
,variation,MB05-003,"Photo de Marlon Brando dans le film ""Le Parrain""",MB05,1000,"27,90",Dimensions,25x25 cm,,1,,Finition,Cadre,,1,,Passe-Partout,Non,,1,
,variation,MB05-004,"Photo de Marlon Brando dans le film ""Le Parrain""",MB05,1000,"32,90",Dimensions,25x25 cm,,1,,Finition,Cadre,,1,,Passe-Partout,Oui,,1,
,variation,MB05-007,"Photo de Marlon Brando dans le film ""Le Parrain""",MB05,1,"19,90",Dimensions,30x30 cm,,1,,Finition,Tirage Seul,,1,,Passe-Partout,Non,,1,
,variation,MB05-008,"Photo de Marlon Brando dans le film ""Le Parrain""",MB05,1,"21,90",Dimensions,30x30 cm,,1,,Finition,Tirage Seul,,1,,Passe-Partout,Oui,,1,
,variation,MB05-009,"Photo de Marlon Brando dans le film ""Le Parrain""",MB05,1000,"39,90",Dimensions,30x30 cm,,1,,Finition,Cadre,,1,,Passe-Partout,Non,,1,
,variation,MB05-010,"Photo de Marlon Brando dans le film ""Le Parrain""",MB05,1000,"49,90",Dimensions,30x30 cm,,1,,Finition,Cadre,,1,,Passe-Partout,Oui,,1,
,variation,MB05-013,"Photo de Marlon Brando dans le film ""Le Parrain""",MB05,100,"29,90",Dimensions,40x40 cm,,1,,Finition,Tirage Seul,,1,,Passe-Partout,Non,,1,
,variation,MB05-018,"Photo de Marlon Brando dans le film ""Le Parrain""",MB05,1000,"59,90",Dimensions,40x40 cm,,1,,Finition,Cadre,,1,,Passe-Partout,Non,,1,
,variation,MB05-014,"Photo de Marlon Brando dans le film ""Le Parrain""",MB05,1000,"64,90",Dimensions,40x40 cm,,1,,Finition,Cadre,,1,,Passe-Partout,Oui,,1,
,variation,MB05-017,"Photo de Marlon Brando dans le film ""Le Parrain""",MB05,100,"39,90",Dimensions,50x50 cm,,1,,Finition,Tirage Seul,,1,,Passe-Partout,Non,,1,
,variation,MB05-019,"Photo de Marlon Brando dans le film ""Le Parrain""",MB05,10000,"79,90",Dimensions,50x50 cm,,1,,Finition,Cadre,,1,,Passe-Partout,Non,,1,
,variation,MB05-020,"Photo de Marlon Brando dans le film ""Le Parrain""",MB05,10000,"84,90",Dimensions,50x50 cm,,1,,Finition,Cadre,,1,,Passe-Partout,Oui,,1,
,variation,MB05-023,"Photo de Marlon Brando dans le film ""Le Parrain""",MB05,100,"49,90",Dimensions,60x60 cm,,1,,Finition,Tirage Seul,,1,,Passe-Partout,Non,,1,
,variation,MB05-024,"Photo de Marlon Brando dans le film ""Le Parrain""",MB05,10000,"94,90",Dimensions,60x60 cm,,1,,Finition,Cadre,,1,,Passe-Partout,Oui,,1,
